key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords
d7c78847-d662-44c4-a550-5a812dbcc71b	Universidad de Navarra, Herbarium: PAMP-Vascular Plants	2f390a80-56f3-11da-880b-b8a03c50a862	University of Navarra – Department of Environmental Biology	
82dc5194-f762-11e1-a439-00145eb45e9a	Fungal Biodiversity Centre (CBS) - Fungi strains	6a430540-7f09-11d8-a1a0-b8a03c50a862	Westerdijk Fungal Biodiversity Institute	
0bbc5ba0-d7f8-11e2-95e7-00145eb45e9a	The Environmental Sample Collection of the Arthropoda Varia Section at the Zoologische Staatssammlung München	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
eff7d030-3013-43da-b686-6bafdd228131	The Coleoptera collection (EC) of the Muséum national d'Histoire naturelle (MNHN - Paris)	2cd829bb-b713-433d-99cf-64bef11e5b3e	MNHN - Museum national d'Histoire naturelle	
da90017f-41d6-4bfa-a7bc-af50c80e90a2	Nijmegen Natural History Museum (Museum De Bastei) - Entomological Collection	16fd28c4-e4be-40e5-a551-139e573cfe68	Museum De Bastei	
78c1a71e-abb2-49cf-abc8-efafb981b0e4	Lichen herbarium TRH, NTNU University Museum	a8144f37-5ff7-4137-9400-94b5b2ea4ec4	Norwegian University of Science and Technology	
81321482-f762-11e1-a439-00145eb45e9a	Tartu University fossil collections	70488160-b003-11d8-a8af-b8a03c50a862	Geocollections of Estonia	
4443b1f2-231b-4e60-b343-8c93fba93982	Herbier de Nouvelle-Calédonie	a6de8f30-d931-11db-973c-b8a03c50a862	Université de Strasbourg	
68e364c7-2e11-4fbd-9417-bbc4ce2d188a	Collections paléontologiques de l'Université Rennes 1	6a3befbc-cc8a-4be0-92ee-d4872b1dfd7c	Geosciences Rennes UMR 6118 Université Rennes 1	
00b3dec8-a7f4-4aa2-b8d5-feb936368e64	Société des Lettres de l'Aveyron	02fce6f4-8dcd-4eaf-afe9-28ba30822751	Récolnat	
95ed1fa5-2923-4459-836b-11ad8cc4bf42	Mammals in MZNA-VERT: pellet sampling	2f390a80-56f3-11da-880b-b8a03c50a862	University of Navarra – Department of Environmental Biology	
9f6be6a5-fa23-4471-97c6-67cd21bcf53a	Botanical Collections of the Åbo Akademi	3ee55840-1f1d-11d8-a2da-b8a03c50a862	University of Turku - Biodiversity Unit	
7ee98521-4558-4edd-b241-edef8e1ebf62	Coleoptera collection, NHM	f314b0b0-e3dc-11d9-8d81-b8a03c50a862	University of Oslo	
9661bc40-f762-11e1-a439-00145eb45e9a	Collection Herpetology SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
16a3533d-90cf-4402-95a4-42437e2f9660	Herbarium Senckenbergianum (GLM) - Bryophyta	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
1d31211e-350e-492a-a597-34d24bbc1769	Royal Botanic Gardens, Kew - Economic Botany Collection Specimens	061b4f20-f241-11da-a328-b8a03c50a862	Royal Botanic Gardens, Kew	
8291593c-f762-11e1-a439-00145eb45e9a	Collection Malakologie - SNSD	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
9666593a-f762-11e1-a439-00145eb45e9a	Collection Mammalia SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
4ad0be7f-8caa-424f-b34e-2bb3e03a1caf	Collezione entomologica miscellanea del Museo entomologico Filippo Silvestri | Miscellaneous Entomological Collection of the Filippo Silvestri Entomological Museum	ad16fb6c-dcad-4e19-b72a-3456759866b1	Università degli Studi di Firenze, Sistema Museale di Ateneo	
